balance type,amount,description,balance after update
NTC,50,[ alloted  ]  balance alloted by admin // allocated,,2018-12-04 12:49:19
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-04 13:24:44
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-19 13:32:44
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-19 15:06:13
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-21 15:16:42
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-21 15:19:19
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-26 11:50:15
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-26 11:51:55
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-30 13:32:40
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2018-12-30 13:58:12
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-01-03 14:52:39
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-01-14 12:44:38
NTC,3,[ deduced  ] Balance deduced due to Sending SMS,,2019-01-24 09:53:33
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-11 13:25:37
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-13 12:59:41
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-14 16:13:21
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-14 16:15:17
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-14 16:18:09
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-14 16:20:43
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-02-18 12:48:00
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-05 14:53:46
AXIATA,10,[ alloted  ] balance alloted by admin,,2019-03-07 14:58:26
NTC,5,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-12 17:25:27
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-12 17:26:18
NTC,9,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-12 17:35:28
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-13 15:15:00
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-13 17:09:04
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-13 17:09:04
NTC,2,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-14 18:40:57
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-14 18:40:57
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-14 19:11:32
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-22 01:18:29
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-22 01:18:29
NTC,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-22 01:18:29
NTC,2,[ deduced  ] Balance deduced due to Sending 2 EOM SMS,,2019-03-22 22:39:03
AXIATA,1,[ deduced  ] Balance deduced due to Sending SMS,,2019-03-28 15:06:48
