Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Idea-api[ Easy-reseller ],BSCCSL,Baghmara Saving & Credit Cooperative Sanstha Limited            ,Default [ AXIATA ],Requested,2017-01-03 18:32:37,Regular
Idea-api[ Easy-reseller ],NSTORE,Network Store Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-01-05 13:21:37,Regular
Idea-api[ Easy-reseller ],NEGEOBGL,Nepal Government Employees' Organization Baglung            ,Default [ AXIATA ],Requested,2017-01-08 13:26:21,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TEJASVI,     Tejasvi Computer       ,Default [ AXIATA ],Requested,2017-01-03 15:18:38,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AyushIntl, Ayush International           ,Default [ AXIATA ],Requested,2017-01-03 15:21:03,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],STAR,    Sher Bahadur Dhami        ,Default [ AXIATA ],Requested,2017-01-03 15:22:47,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],CHAUTARI,        Chautari Nepal Health    ,Default [ AXIATA ],Requested,2017-01-03 15:28:57,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AashaIntl,      Aasha International      ,Default [ AXIATA ],Requested,2017-01-03 15:16:04,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],ComputerIns,   Surkhet Computer          ,Default [ AXIATA ],Requested,2017-01-03 15:19:47,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],DWE,   DWE         ,Default [ AXIATA ],Requested,2017-01-03 15:21:34,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],KanchanFM,      Kanchanjanga FM      ,Default [ AXIATA ],Requested,2017-01-03 15:24:13,Regular
Softlab Inc[ Easy-reseller ],MixERP,MixERP Technologies            ,Default [ AXIATA ],Requested,2017-01-06 16:13:22,Regular
Softlab Inc[ Easy-reseller ],BhdrpurMun,Bhadrapur Municipality            ,Default [ AXIATA ],Requested,2017-01-03 09:28:21,Regular
Softlab Inc[ Easy-reseller ],SESNepal,Purwanchal Digital Media            ,Default [ AXIATA ],Requested,2017-01-05 17:35:04,Regular
Softlab Inc[ Easy-reseller ],BAPRC,Bardiya Academy & Polytechnic Research Centre            ,Default [ AXIATA ],Requested,2017-01-03 09:27:40,Regular
Softlab Inc[ Easy-reseller ],LittleAngle,Little Angel Eng School Btm            ,Default [ AXIATA ],Requested,2017-01-03 09:29:05,Regular
Dryice Solutions[ Easy-reseller ],DHRP,Dalit Human Rights Portal            ,Default [ AXIATA ],Requested,2017-01-05 11:52:55,Regular
