balance type,amount,description,balance after update
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-13 12:05:20
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-13 12:05:25
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-02-14 13:34:42
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-02-14 13:34:47
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-16 10:26:36
NTC,769,[ deduced  ] balance alloted to kanjirowa national h.s. school,,2017-02-16 11:55:03
NTC,100000,[ deduced  ] balance alloted to synergy tech software,,2017-02-16 15:20:00
AXIATA,100000,[ deduced  ] balance alloted to synergy tech software,,2017-02-16 15:20:06
NTC,25000,[ deduced  ] balance alloted to softlab inc,,2017-02-16 16:41:09
NTC,100000,[ deduced  ] balance alloted to arya technology private limited,,2017-02-17 10:31:23
AXIATA,50000,[ deduced  ] balance alloted to arya technology private limited,,2017-02-17 10:31:29
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-17 16:42:38
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-17 16:43:01
AXIATA,2500,[ deduced  ] balance alloted to the connect plus private limited,,2017-02-19 11:22:56
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-20 12:07:56
NTC,100000,[ deduced  ] balance alloted to muktinath bikas bank limited ,,2017-02-20 12:08:17
NTC,1000,[ deduced  ] balance alloted to ims investment management services private limited,,2017-02-20 16:44:44
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-21 10:54:29
AXIATA,500,alloted : Balance deduced from district agriculture development office parbat,,2017-02-23 11:05:37
AXIATA,500,[ deduced  ] balance alloted to district agriculture development office parbat,,2017-02-23 11:07:06
AXIATA,500,alloted : Balance deduced from district forest  office khusma,,2017-02-23 11:07:58
NTC,500,[ deduced  ] balance alloted to district forest  office khusma,,2017-02-23 11:08:05
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-23 16:01:45
NTC,200000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-02-24 10:23:04
NTC,3000,[ deduced  ] balance alloted to nepal police,,2017-02-24 18:09:45
NTC,5000,[ deduced  ] balance alloted to junior police officer college,,2017-02-24 18:51:07
AXIATA,2000,[ deduced  ] balance alloted to junior police officer college,,2017-02-24 18:51:18
NTC,2000,[ deduced  ] balance alloted to kathmandu don bosco college,,2017-02-27 13:35:52
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-28 11:38:41
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-02-28 11:39:14
NTC,15,[ deduced  ] balance alloted to easy-demo,,2017-02-28 13:25:32
AXIATA,13,[ deduced  ] balance alloted to easy-demo,,2017-02-28 13:25:37
NTC,20000,[ deduced  ] balance alloted to softlab inc,,2017-03-05 11:49:33
AXIATA,10000,[ deduced  ] balance alloted to softlab inc,,2017-03-05 11:49:40
NTC,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-03-05 12:34:11
AXIATA,500,[ deduced  ] balance alloted to ims investment management services private limited,,2017-03-05 12:34:16
NTC,3,[ deduced  ] balance alloted to easy-demo2,,2017-03-06 10:14:16
NTC,15,alloted : Balance deduced from easy-demo,,2017-03-06 10:14:41
AXIATA,15,alloted : Balance deduced from easy-demo,,2017-03-06 10:14:45
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-06 14:54:01
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-06 14:54:07
NTC,500,[ deduced  ] balance alloted to district forest  office khusma,,2017-03-07 15:14:49
AXIATA,500,[ deduced  ] balance alloted to district forest  office khusma,,2017-03-07 15:14:55
NTC,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-03-08 16:03:55
AXIATA,100000,[ deduced  ] balance alloted to initiative nepal pvt. ltd.,,2017-03-08 16:04:01
NTC,100000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-10 10:34:16
AXIATA,50000,[ deduced  ] balance alloted to e-prima technology pvt. ltd.,,2017-03-10 10:34:21
AXIATA,500,alloted : Balance deduced from  i. quest technologies pvt. ltd,,2017-03-10 16:05:17
NTC,500,[ deduced  ] balance alloted to  i. quest technologies pvt. ltd,,2017-03-10 16:05:23
NTC,500000,[ deduced  ] balance alloted to idea-api,,2017-03-13 16:24:51
