Sender ID,Operator/Gateway,Description,State,Date
Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
3Brothers,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
8DEGREES,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
a2z,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Aabhash,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AABHUSHAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Aakarshan,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AamaSaccos,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Aamidaba,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AasthaIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ABCDeInc,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ACAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AceMedia,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AchyutRaj,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
acmenet,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ACMESunwal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AcmeWIFI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ACP,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ADEXPRESS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AdhunikAgro,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Advance,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AFFIX,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AgonGuthi,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AHT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AIASCHOOL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AIM,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AIMS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AIP,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AIRHOSTESS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AISchool,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AKASH,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ALFABETA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AliOverseas,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AllCornice,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ALLIANCEHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AlMoonOvs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
alnazma,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AlphaSHRM,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Alquraish,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ALSAMIT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AlzarafaITR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Amadablam,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Amity,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ANGELS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ANILKRISHNA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ANJALIOVRS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AnmolJyoti,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AnmolOvrs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AnnalJyoti,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ANNAPURNA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AnsuNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ANUPAM,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AOC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
APEX,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ApexCom,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
APOLLO,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ARGON,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ARJUN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ARMANNEPAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Arniko,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AroraHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ArpanSaving,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ArunimaEdu,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ASHEEMAUTO,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AsiaLink,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Asmik,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ASMITA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ATHARVA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AvatarHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AWARDMAKER,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
AxisHRS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BabaEdCentr,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BabaEducatn,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BachatSangh,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BadriGhimir,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BaibhavOvs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BAJRANGBALI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Balvadra,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BanepaNIST,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
BARAHA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
