Request By,Sender ID,Operator/Gateway,State,Date
Nepadristi Private Limited,rbdiamond,Default [ AXIATA ],Approved,2015-09-17 12:21:29
Nepadristi Private Limited,RBDiamonds,Default [ AXIATA ],Approved,2016-06-21 17:23:53
Nepadristi Private Limited,scnworld,Default [ AXIATA ],Approved,2015-09-23 10:51:13
Nepadristi Private Limited,Edupark,Default [ AXIATA ],Approved,2016-07-03 13:01:53
Nepadristi Private Limited,worldwide,Default [ AXIATA ],Approved,2015-10-09 17:07:33
Nepadristi Private Limited,careerpath,Default [ AXIATA ],Approved,2015-09-17 12:21:07
Nepadristi Private Limited,TTSCHOOL,Default [ AXIATA ],Approved,2016-12-08 12:12:36
Nepadristi Private Limited,NBFA,Default [ AXIATA ],Approved,2015-12-10 16:59:57
Nepadristi Private Limited,Edumarg,Default [ AXIATA ],Approved,2015-09-18 15:10:32
Nepadristi Private Limited,SIECNEPAL,Default [ AXIATA ],Approved,2015-10-02 14:49:57
Nepadristi Private Limited,NepaSMS,Default [ AXIATA ],Approved,2015-09-06 11:56:06
Nepadristi Private Limited,Nirvana,Default [ AXIATA ],Approved,2016-07-03 13:02:50
Nepadristi Private Limited,Edupark,Default [ AXIATA ],Approved,2015-12-10 16:59:42
Presidential Business School,PBS_Info,Default [ AXIATA ],Approved,2017-01-20 16:01:46
Presidential Business School,PBSinfo,Default [ AXIATA ],Approved,2017-01-23 12:14:15
TTHS,TinyTots,Default [ AXIATA ],Approved,2017-02-01 08:27:50
TTHS,TinyTots,Default [ NTC ],Approved,2017-02-01 08:27:27
